page,fbid
2020 Ice Hockey Classic,740347996078799
22Gz,1626357447527800
24 heures,509839125694576
24 heures-TABLOÏD,355706981519859
24-7 Intouch Guatemala,121012724618143
24H Congo,110759060692839
24h Tremblant,166333036718086
24kGoldn,982432451929827
25th Street Theatre,14966000991
28. Jun,102537783146375
2Frères,100044611711375
3 Brasseurs Canada,202901828624
3 Inches of Blood,6385103062
3 Principles for Human Development,1425444197669017
3 Things Consulting,307950805980784
3-2-1 BATTLE,336159089800533
30 Minute Hit,90588007631
300 Entertainment,604236202974094
338Canada,340354966768994
350 Canada,116486331729420
360Nitro.tv,52137258131
365promises,126132350751188
3M,162056987140787
3MillionCats,177519315688938
3MillionDogs,229844063767299
4 Paws Pure,183221220447
4000 Hikes,176540959471053
420 Vancouver,678556955635244
425F,129619970847923
43 Division - Toronto Police Service,194456410586870
45 năm tháng tư Đen,102173668015642
49 Design,1512891412370068
4:20 Smoke Weed,154350694739854
4th Canadian Division - 4e Division du Canada,767088219985590
4x4setup Magazine,255515541275885
5 Seconds of Summer,100044424246408
"5 ingrédients, 15 minutes",133556790064898
500px,57284451149
54Lights,1248710598618432
570 NEWS,435763873153120
580 CFRA,120812262830
5G Shield,884120998587363
5MinuteLife,648206028677700
5e rang,350025215775095
5k Foam Fest Fun Run,552832248170327
5th Canadian Division/ 5e Division du Canada,478573952173735
6 MeMes 9,1675376765901269
6 Shit 9,2063226217276454
60's Scoop Awareness,680456438659094
604 Now,362949288232
620 CKRM,113255945407102
630 CHED,130968530253684
630 CHED Santas Anonymous,113906485336166
640 Toronto,160347210655494
650 CKOM,114264561925492
660 NEWS,341076152371
669-Heat,1412853202320765
66Samus,100044253018349
680 CJOB,130660530344466
680 NEWS,204410527704
6Foot4Honda Motovlogs,655318661164633
6LACK,86274211357
6ixbuzz,852538264912703
7 Jours,113918058635710
7 jours sur Terre,1856281401056181
70000tons,107567389067
730 CKDM,206511469364921
80's music lovers,172864282803468
840 CFCW,37326956740
88.7 myFM,145065388860709
88.9 Shine FM,8949282497
88glam,256246808235722
88rising,1711974572421873
89.5 The Drive,169988889686993
8Comics,325081924358831
8Comics Home Of,1430918253844955
8Hay,699256586862475
90 Day Fiance Updates,707355129464145
90's Nostalgia,500947239983919
90.5 Shine FM,125210074158898
90.5 myFM,112992357917
900 CHML,104554073627
91.5 THE BEAT,19003505092
91.7 Giant FM,140092799358095
91.9 BOB FM,298855207450
91.9 Sports,880897441945418
91.9 The Bend,1536672966552869
92.1 CITI,111770622188081
92.1 ROCK,102812993091579
92.1 myFM,451878664879380
92.3 The Dock,136266479728351
92.7 ROCK Sudbury,106881490072
92.9 The Bull,359093871871
93.1 The Border,251036181630636
93.3 The PEAK,146625782056709
93.3 The ROCK,141554845865248
93.3 myFM,40218033049
93.7 JR Country,59387287797
931 Fresh Radio,182496758453639
"94,5 Unique FM",217585578399673
"94,9 Rouge",236257089748345
94-3 The Drive,211202318983998
94.1 myFM,164864070233626
94.3 CKSY,181817548531213
94.7 Rouge,240445512654530
94.9 The Rock,116961655005805
943 the GOAT,112843875393678
"95,7 KYK",117228977327
95.1 The Peak FM,103411603025398
95.5 Hits FM,10150154538290437
95.7 CRUZ FM,1435597666654794
95.9 CHFM,175729922438540
"96,9 CKOI",122334661136817
"96,9 Rouge",267133359969833
96.1 BOB FM,496496950437012
96.1 myFM,148263071863963
96.3 BIG FM,193313102322
96.3 Cruz FM,294602450660511
96.3 The Breeze,141299699264130
97.3 The Wave,291323799248
97.5 KROCK,253491807996607
97.7 HTZ-FM,100295090024444
97.7 Max FM,355725537410
97.7 ROCK Grande Prairie,135626609792269
97.7 Real Country,263038403758270
98 COOL,100044638740132
"98,5 FM",141792675836335
98.1 CHFI,174572581654
98.9 myFM,171942679620136
980 CFPL News,78585693009
980 CJME,110697868965218
99 Whiskers,178189705911021
"99,9 Rouge",191347847594526
99.1 HITS FM,269138668812
99.3 The Drive - Prince George's Classic Hits,112101172142114
99.9 myFM,123212057763525
99.9FM The Fox - Sarnia,161402733888455
999 BOB FM,403003226378163
99media.org,296520683729165
"A Bear, An Otter & A Queen",1559166767450371
A Better Us,599393427069619
A Blog Of Thrones,133829086988375
A Boogie Wit Da Hoodie,914081808700817
A Bucci • Wildlife Photography Tours and Printing,100045116378612
A Capella Science,100044542294859
A Clothes Horse,254564953024
A Dash of Dee,276764435696647
A Day To Remember,19814903445
A Dollar A Day,476511116045730
A Dose Of Buckley,100044842688173
A Future Without Breast Cancer - Canadian Cancer Society,35601747632
A L Auto ئۆتۆمبيلی کلین تایتل کەنەدی,101771048283446
A Life In Progress,1439938736279507
A Pet's Delight,2092094244432703
A Pet's Pantry Society,762155360530388
A Place Called Home,439696019476607
A Poet's Blood Is Ink Continued,100050474769900
A Simply Complicated Life,103406911214790
"A Spiritual Journey with Jesus, The Divine Mercy",130799766943475
A Taste of Burlington,142441596069
A Thousand Horses,100044400010579
A Villains Neverland,308892059702504
A Virtual Vegan,943587332365868
A Voice for Men & Women who Support Feminism & Oppose the MRA,464753026905271
A bon entendeur,1411055932505957
A for Adventure,257107474459044
A ton avis,698225730324024
A woman on the internet,998717626805944
A&B Boutique,591766051235963
A&B Crystal Collection,342912872529441
A+ Action,235298823803286
A.C.E 에이스,100044297922927
A.CHAL,302019319838267
AB Radical Feminists,109176647113961
AB3 Comedy,100053982690644
AB6IX,100044498676942
ABC General Hospital Fans,2235025963404508
ABIR,260336474031252
AC Bonifacio,842535522491619
AC/DC,6750402929
ACA CERTIFICATION,281110993348
ACCROchet,108287709284890
ACE Services Mécaniques,936730326394098
ACFA,197508575486
ACN - Aide à l'Église en Détresse,273259151290
ACT-Autism Community Training,146839398709900
ACTORS,100044598602105
ACTRA Toronto,59792622507
ADAMSON,47434680535
ADDITION ELLE,80592962427
ADI - Advancement of People with Disabilities & Rehabilitation for All,56032272603
ADIM Collaborative- Autism Coaching and Consulting,379292989162564
ADISQ,115065718526278
ADRA Canada,178474577244
AEHEC,211902955493907
AEW Games,246685843059371
AFI Headquarters,156731079675
AFPC-Québec,238620454833
AG Club,106624420727856
AG Hair,58903674372
AGAC,109054835834443
AGNEZ MO,136166399746543
AGO - Art Gallery of Ontario,7834249143
AICP Canada - جمعية المشاريع الخيرية الإسلامية في كندا,279941218747271
AID 4 PAWS - Search and Recovery,1781493712077450
AIM Autosport,104653834250
AIR MILES Canada,8669328226
AIZA,1270900136271671
AJ Mitchell,1681238465447660
AJDOR,100050371395064
AJ’s and ME,2190390774547618
AKTV Inc,169005258261
ALBI Kia Saint-Eustache,112371230253528
ALBI le Géant,171581862856670
ALDO Shoes,70926594298
ALDO Shoes - Taiwan,109376120711196
ALL MEMES,508381246298281
ALLAH Bize Yeter,112843947085542
ALLAH C.C AŞKI,356486178431733
ALPHA RWIRANGIRA,183381141320
ALS Canada,135818996473199
ALS Society of Alberta,108461419173292
ALTER EGO CLOTHING,146169998729718
AM 1150 Kelowna,147266938628366
AM1470 / FM96.1 - Official Page,132820956742945
AM730 Traffic,106225510039
AM800 CKLW,134091663273216
AMBER Alert Ontario,123358547708473
AMG Television,1133800613402112
AMI-télé,1558218751066856
AMP Diapers,52365427239
AMP Guardian Pharmacies,940385215995648
AMP Radio,91086701900
AMRE Supply,127435257328449
AMVQ en pratique des petits animaux,131730440285041
ANMOL VIRK,100044399530401
ANOKHI MEDIA,254079461311688
ANTY,593704290749544
APA Archery,326913727368498
APC United Late Model Series,728042023931159
APTN,88781789916
APTN Investigates,167476650880
APTN Lumi,2328138220796298
APTN National News,125809458771
AQTIS - Page officielle,319021241490484
ARA - Féria Automnale,233911953989088
ARAMA JAPAN,620474298048383
ARENA DARDANE,448623451845718
ARF Alberta - Animal Rescue Foundation,117838381589220
ARIM Madagascar,104250774281955
ARK Ceramics & Gifts,49874223829
ARPACanada,116175845083128
AS-LIGHT SKOPJE MACEDONIA,234333537036
ASAP Mob,100044359692806
ASI - Association de la Sommellerie Internationale,1044728685540846
ASTROLab du parc national du Mont-Mégantic,137058673012042
ATB Financial,185517151483763
ATCO,159251388521
ATMOSPHERE - Province de Québec,255658684486324
ATTAC-Québec,116038985126028
ATTITUDE - français,159696534215774
AUF - Afrique de l'Ouest,169907409760797
AUJ,802664539831338
AUTO JOSA Inc.,491244244387812
AVSforum,543436999053107
AXFIT,78005051990
Aamir,165479426832195
Aamjiwnaang Heritage & Culture :E'Maawizidijig,628626040523778
Aap North America,211359699049406
Aaron Cole,193496544000886
Aaron Dessner,1703362789946740
Aaron Goodvin,100044265887727
Aaron Gunn,718750754978491
Aaron Peck and Elevation Sled Dog Adventures,1394885270579756
Aaron Pritchett,100044470478033
"Aaron Thompson Concerts, Missions, Conversations and HOPE",121155345402
Aarti Pole,100044487157238
Aashmeen Munjaal's STAR SALON n' Academy,129276660479544
Ab extensions - Spécialiste en extensions capillaires,366655443389798
Aba & Preach,445938198925817
Abaka,152978984739035
Abandon All Ships,100044404540362
Abandoned Cat Rescue,1433858943498232
Abandoned Spaces,1631626090400340
Abbotsford Centre,274161990696
Abbotsford International Airshow,360068150851
Abbotsford Police Department,216416955042766
Abby Langer Nutrition,615968808433528
Abby Pollock,508786615948675
Abby Sage,1684359575156741
AbbyNews,131829896841647
Abdel Kadiri,244362485694110
Abdilahi Ahmed mohamud Carafaad,100044296486398
AbduFood,151411341684647
Abdullah Alghurabi,118788612075805
Abell Pest Control,613067592082514
Aberdeen Mall,107843705918849
Abin Alex,101806203234291
Abir El Shaban,301563233995460
Aboriginal Students' Centre,121245534572689
Abortion Rights Coalition of Canada,127514140600625
About Islam,1516856835275038
Above & Beyond Home Decor,293983644027290
Abraham Vázquez prom,248163952426795
Absolute Travel,403297919723274
Absolutely Positive,100044609011551
Abundant Life Colors,412935188912432
Academos,160220461386
Academy of Ideas,457155184315132
Acadia Divinity College,77453586393
Acadia University,54557874359
Acadie Nouvelle,26891234963
Acadie-Bathurst Titan,142363582513003
Académie Gregory,670819993294232
Académie du Keto,308451663398730
Accelerated Motion Physiotherapy,120410035030242
Accent,100044514726133
Accent Fireplace Gallery,216711805174470
Accent Inns,169407818154
Accessible Canada,247990812241506
Accompagnante à la naissance/Mère et Monde,38259047660
Accueil Bonneau,317447201636677
Accès Croisières & Voyages,371772912869009
Accès Services Santé,1874661769217877
Accès transports viables,368356109922780
Ace Canada,186731061828228
Achieve Wellness Spa,170622129742951
Acidmath,571676489608425
Action 500,227244394000230
Action Against Hunger / Action contre la Faim Canada,110272245706413
Action Free Hong Kong Montreal 滿地可撐香港行動頁 #Freehkmtl,1326598397503723
Activate,2112015969058734
Active Refresh,280475149151791
Active Riverview,129088795618
Active Therapy +,510905545699048
Active for Life,224643910895706
ActiveBeat,395116880560218
Actualité Humour HR,295591647466030
Actualité LGBTQ francophone,112113183629684
Actualités - L'Étincelle du Val SF,1495260677415020
"Actualités, trucs et astuces",497410677108221
Actumus,848390085223309
Aculite,100044156692908
Acupressure Experts - Sambhav Nature Cure Hospital,422443897919129
Acura Canada,248426078570538
Acura Connected,217800518245295
Acura Trois-Rivières,120494024671679
AdVenture Capitalist Community,345324292309306
Adam 963,1388595778103913
Adam Baldwin,87649677491
Adam Chan - adamchankungfu.com,104342650049086
Adam Ellis,136450789739469
Adam Gregory,100046724421022
Adam Shoalts,1606529472946013
Adam Vaughan,1438706603045134
Adam van Koeverden,337597002991333
Adam4Adam,139181536124240
Adbokasiyang Pinoy,100053597176438
Adbusters,131857616962
Addams Family Movie,848505495350358
Addison Électronique,520612624672943
Adele's Over the Rainbow Baskets - Down syndrome LOVIN,1376613865936842
Adelyne's,965206000264261
Adept Tattoos,148323681851087
Adib Alkhalidey,100044250663025
Adil Charkaoui - عادل الشرقاوي,746182248836477
Adithyha Jayakumar,102865574762384
Adjrad djugurta - أجراد يوغرطة,100044268917775
Adnan Ul Haq,1262745770528464
"Adonis "" Superman "" Stevenson",108750312538125
Adopt A Mutt Dog Rescue: Thunder Bay,508117625975592
Adoption Chats Sans Abri,229626471449
Adoption Options Alberta Ltd.,870082323008925
Adornetto,114447922238262
Adrenalinejunkieprod,533331550080602
Adrian Chalifour,123291451131262
Adrian Sutherland & Midnight Shine,521247211255429
Adriana LaGrange,1069877079831515
Adrianna Biedrzynska,199725706891746
Adriano Valentini Productions,1389345654661107
Adrien Pouliot,405936282824547
Adults Who Love Cartoons,104938804568158
Adventure Canada,77679467145
Adventure365,104630459612889
Adventurer Campers,102045411208922
Aermec,110247763192
Aero Emploi,733492893376450
Aestas Book Blog,100044149883844
Aesthetic memes for tryhard teens,1759322440997165
Aeternam,100047055525220
Affinity CU,178350898946250
Affion Crockett,100044309640023
Afghan Canadian Islamic Community,116231028452839
Afghan Community Vancouver ACA,882709721874998
Afghan Memes,299072753493185
Afif Kichli Est,1365628703492826
Afreen Afreen,100053049923422
AfriCanada Consulting Inc.,249611678919630
African Athletics United,89162441451
African Heroes,1056370214548428
African Impact,140942759303157
African Lion Safari,604903092937459
African Winners 1995,136824286354255
Afrisuper,1422860171274655
Afro-Cardio avec Taroum Rimtobaye,109543754085906
Afrojack,165442691420
AfrotroniX,119872664696130
After Changez Khan,102506338086233
Aga Khan Academy Hyderabad,146502842117747
Aga Khan Development Network,1620669458166839
Aga Khan Museum,485619821462818
Aga press,464715770231692
Against All Odds Rabbit Rescue,380736288673101
Against The Current,247236941963772
Agassiz Harrison Observer,167910609916190
Agatha boutique,335632359799304
Age of sin memes for rejecting the order of creation,589790598098213
Agence Science-Presse,148754208475896
Agence canadienne d'inspection des aliments,185584808275156
Agence des services frontaliers du Canada,122656527842056
Agence du revenu du Canada,565688503775086
Agence spatiale canadienne,116571361731931
Agent NDN,2127176967599869
Aggression,202489186459787
Aglaïa,1790428094549658
Agnes Etherington Art Centre,162288917205185
Agnès Grondin - Députée d'Argenteuil,1908932529171721
Agriculture and Agri-Food Canada,883120228472315
Agriculture for Life,395742500483066
Agropur,1847348618810010
AheadoftheHerd,325965557979280
Ahen,148264732015187
Ahmad Belal - IELTS Instructor,338597316579063
Ahmad Shamloo احمد شاملو by Sara,100044465768272
Ahmed Ali Khan,425486134685226
Ahmed Hussen,601205023335874
Ahtahkakoop School,929035217123992
Ahval,1576788609030933
Aidersonenfant.com,376812689172781
Aigles de Trois-Rivières,220639638069190
Aikens Lake Wilderness Lodge,125098714195410
Aime Ton Cinéma,106409557739954
Air Cadet League of Canada / Ligue des cadets de l'Air du Canada,160784044007522
Air Canada,134146296633274
Air Canada Rouge,258456120946894
Air Canada Vacations,61758545288
Air Creebec,1686232344996712
"Air North, Yukon's Airline",209146684664
Air Show Atlantic,182501295135945
Air Transat,311018288978075
Air Transat,124200754261203
Air Transat Italy,591557514532745
Aircraft Modelers Research Inc.,356142431118427
Aire Commune,1832193633775685
Airliners.net,54626803959
Airshow London,428550703997112
Aishwarya Rai Bachchan,307714549649446
Aishwarya Rai Bachchan - Instagram,750366264982712
Akash Narwal,761055037326770
Akbaruddin Owaisi The Great Leader,836807539705443
Akemel Negash - 𝐏𝐚𝐠𝐞,101483824685792
Akhand Keertanee Jathaa,388765791243633
Akhanda Yoga by Yogrishi Vishvketu,522352074580299
Aki - Épicerie & boutique zéro déchet,2154430824822770
Aki Sushi / Aki Thaï,164117036978183
AkoLage Observer,540629926268767
Akroche Tatuk,250050815071103
Akshar Mantra,100052078424482
Akshon Esports,1014274778658459
Akwesasne Mohawk Police Service,1037560996316850
Al Firdaws Canada,323280095164254
"Al Huda Institute, Canada",146404525753
Al-Khair,2234751056793780
Al-Ándalus || الأندلس,315500270812
AlHudood شبكة الحدود,467653629981995
AlKauthar Institute,35400960873
AlMaghrib Institute,100792561847
AlNamrood (OFFICIAL),190670531029592
Alaa Assaf علاء عساف,221669111944870
Alaa Elsayed,247543215268355
Alaclair Ensemble,100044579732936
Alailama,1370682442943318
Alain Dumas,100058173124936
Alain Moussi,100045040776387
Alain Pernot,1293350390691057
Alain Rayes,223543244377689
Alain Therrien,188085624664234
Alaina Lockhart,294056524106701
Alan Cross Official,100044316345139
Alan Doyle,100044170012573
Alan Frew,100044376821460
Alan Keeso,2537921963099791
Alana Palm - Wake Up Joyful,550501178809903
Alanis Morissette,6002796793
Alannah Myles,437196452979906
Alaska Highway News,201062806590836
Alberni Valley News,183114245033382
Alberta AF,275211626311691
Alberta Acts on Climate Change,401956936620900
Alberta Animal Rescue Crew Society - AARCS,109446472419336
Alberta Assembly of First Nations Regional Chief,1731612420405842
Alberta Association of Optometrists,458312415270
Alberta Aviation Museum,73728515309
Alberta Ballet,32590136894
Alberta Beer Festivals,47144492622
Alberta Biodiversity Monitoring Institute,115899788478502
Alberta Blue Cross,141965255822515
Alberta Blue Skies,1475361069441724
Alberta Boot Co.,204057206285678
Alberta Canada Campaign,1122534717776507
Alberta Chicken Producers,529672807122543
Alberta Children's Hospital Foundation,127477938180
Alberta Conservation Association,275085277461
Alberta Depot,142558085810395
Alberta Emergency Alert,122580997824657
Alberta Fire Fighters Association,458754654321494
Alberta Fish and Wildlife Enforcement,1579802275611835
Alberta Freedom Alliance,1750991965122071
Alberta Game Warden Association,236808273127339
Alberta Health Services,179579998746821
Alberta Health Services EMS,1068984426540587
Alberta Independence Movement,127656448038565
Alberta Institute for Wildlife Conservation,139677596163903
Alberta Kitty Committee,532766717218480
Alberta Milk,161689130531218
Alberta Native News,637622509606699
Alberta Oil Sands,925556924178988
Alberta Oilfield News,643670692436540
Alberta Paramedical Services,229347794087665
Alberta Parks,212571715443765
Alberta Party,341322021409
Alberta Proud,944819212239364
Alberta Recreation and Parks Association,133435447359
Alberta Securities Commission - ASC,113543076837
Alberta Sheriffs,142462854735
Alberta Snowmobile Association,103977149653938
Alberta Strong,1022256767813520
Alberta Strong & Free,289829858549643
Alberta Students' Executive Council [ASEC],127025193593
Alberta Theatre Projects,20486236942
Alberta To The Point,362063691263362
Alberta Tornado Watch / Alberta Blizzard Watch,137881096420194
Alberta Turkey,1867077476858634
Alberta University of the Arts,37528899913
Alberta Wildfire,357885625988
Alberta's NDP,184257548280251
Alberta-First:  End Game,185903868796305
Albertans Against the United Conservative Party,518210034994565
Albertans against the NDP,897136027015511
Albertastan.ca,875067882685920
Alberto Ares,106798880935783
Albin Michel Canada,1645302079117708
Albychan Fans Association,1716003198545385
Alchimiste Microbrasserie,341471505922560
Alcohol Memes,336527409800633
Alcool NB Liquor,123956544355686
Aldergrove Star,186177368124190
Alderney Landing,266941139987753
Aldo Moller,100044376971444
Aldo Nova,100044099843188
Alec Benjamin,148930405151071
Alegria by Cirque du Soleil,38543815745
Aleja Odyssey,211265426241287
Aleks Paunovic,10441401755
Alemu Sime Feyisa,1830025333775428
Alen Palander,100044172892641
Alena Media TV,101398641270979
Alex & MJ - On The GO,146089245778714
Alex Beaulieu-Marchand,100050580995495
Alex Cormont The French Relationship Expert,567282110129619
Alex Coulombe - Pepsi,466483546762227
Alex Cuba,35336990520
Alex Debogorski,100044205290409
Alex Garant Art,142395826524
Alex Henry Foster & The Long Shadows,187026158862142
Alex Ketchum,1539035803009815
Alex Labbé,100057720596076
Alex Lapointe,131919334092786
Alex Newell,207651469253238
Alex Porat,145489025510229
Alex Richard,1918706661769327
"Alex Ruff, Bruce-Grey-Owen Sound",388152681730010
Alex Starsound,100050519018291
Alex Tagliani,100044477437605
Alexa Ray Joel,100044613631323
Alexander 23,1410586542410567
Alexander D'Alesio,1019335441543112
Alexander Shelley,321681541289320
Alexandra Stréliski,100044193561083
Alexandra Villarroel Abrego,116579535031186
Alexandre Barrette,100044548174620
Alexandre Boulerice,100044523725768
Alexandre Champagne,100044515683075
Alexandre Cloutier,8569265134
Alexandre Cusson,100858553453743
Alexandre Da Costa,355687008104444
Alexandre Dubé,1479258089025779
Alexandre Désilets,100057654326606
Alexandre Gagnon Bouchard Kinésiologue,1725257391041226
Alexandre Leduc,100807790033303
Alexandre Poulin - Page Officielle,105459372872132
Alexe,100044890115673
Alexis Brunelle-Duceppe,3204824906209619
Alexis Nakota Sioux Nation,280358588840990
Alexis de Portneuf,637102629657401
Alexz Johnson,100044153303437
Alfa Romeo Canada,866269776731253
Alfaaz by ScoopNow,362061503931745
Alfan Group,364967410310914
Alfie Zappacosta,291584384787
Algeria Vs Covid19,103166661341859
Algerian Around The World,1963459143744626
Algoma Public Health,213227802083994
Algonquin College,100535040000469
Algonquin College Thunder,159592840774549
Algonquin College Waterfront Campus,173420589366111
Algonquin Outfitters,145263660141
"Algonquin Resort, Autograph Collection",381560358533440
Algonquin and Lakeshore Catholic District School Board,843319105760343
Algonquins of Pikwakanagan First Nation,168922609823213
Algérie Solidarité Coronavirus Codiv-19,1598256833567574
Algérie libertà,102368441232964
Ali Adnan - علي عدنان,460337300695681
Ali Al-Merjany,279669032211014
Ali Elsayed,100050521147829
Ali Gatie,1247072345330457
Ali Hanney - Model,100050161823714
Ali Karimi,175479815812444
Ali Nestor,1408670159186130
Alice Chater,232721046914147
Alice Smith School's Official Site,824036857617687
Alice in Chains,15295887490
Alicia Atout,100044540165073
Alicia Deschênes,256683677793305
Alicia Keys,6558867050
Alicia Moffet,1580648368820985
Alicia Toner,190898697595785
Alien: Covenant News,226871014019638
Alii Sufiyan,649820268460852
Alimentation Coop Rimouski IGA-Voisin-Shell,338616836629980
Alimentation Sébastien Blackburn - L'Intermarché Laterrière,909133702454061
Aliments Roma Foods,270403172997117
Aliments du Québec,196970347065451
Alina Mcleod,189580024403094
Aliocha,1679802788941940
Alisa Bingo,231833403627323
Alisha Newton,100044429829813
Alison Wonderland,100044240659209
All About Ami,100044537165119
All About Ewe Wool Shop & More,2160739930910440
All About Parkinson's,670636219697714
All About Speed Cars,104784601239456
All Crafts & DIY,106697037716878
All Elite Wrestling,276076433043811
All Habs,40568028329
All Paws Matter Rescue,1376511649315856
All Seasons Motor Sports Ltd,130618503638034
All The Time Everywhere,1474577662569454
All Things Annapolis Valley,253360742231430
All Things Being Eco,99940952958
All Things Linguistic,747832571896283
All the Pretties,747331981971717
All-West Glass,110236255745802
AllTrends - Populaire,1908728462730065
"Allah is One - লা ইলাহা ইল্লাল্লাহ, মুহাম্মাদুর রাসুল আল্লাহ্",485894955080235
Allah'a Giden Yol,604603156375906
Allan MacEachern - Mayor - Town of St. Stephen,899532990185977
Allanah Jeffreys,100057646321259
Allen's Canada,500135076757174
Allergic Living,6974884797
Allergies Québec,177840788923046
Allez Up Climbing/Escalade,103758082930
Alliance Canada Hong Kong,103056871210068
Allie Beckwith,178635235509983
Allison Daniels,525908524128494
Alliston Home Hardware Building Centre,172481592814556
Alloprof,160920796821
Alloprof Parents,1423194451050574
Alloutdoor.com,127671217422694
Allstate Assurance,153515804739873
Almaguin News-Nipissing News,206621986023474
Almaguin Pet Rescue,515516658569759
Alok,196517133737809
Alouettes de Montréal,8914851378
Alpha Bull,1725219527766345
Alpha1Rides,341210019553346
AlphaCub,1645757895706169
Alphonso Davies,112861035985184
Alpine Canada Alpin,106124326562
Alpine Club of Canada,151226424925847
Alta Genetics,164129957410
Alter-Reality,100560577976844
Alternative Landscaping Ltd.,631712230178088
AltiTunes Music Fest,103142434506281
Altitude Spa,154692651257856
Alto's Adventure,624735610909265
Alwaliidy cars الوليدي للسيارات,2019729031619869
Always Never,1290231047673524
Alyak 2000 Inc.,147772408598578
Alyce Kominetsky - One Word at a Time,468651336673495
Alyse Hand,798579330218037
Alysha Brilla,143166089186521
Alysha Newman,100044352582860
Alyson Schafer,170668342987004
Alzheimer Society of B.C.,180725899434
Alzheimer Society of Calgary,116306041728999
Alzheimer Society of Manitoba,114942665190245
Alzheimer Society of Ontario,45861243971
Alzheimer's & Dementia Awareness Now,518594671594054
Amadeus Cafe,143747775658055
Amadis,395227720937880
Amal Ahmed Albaz,100044304135635
Amal El Madade,100046859990478
Amaluna - Cirque du Soleil,282374401823866
Aman Kaur,145609839385818
Amanda Dagg,100047242141593
Amanda Diaz Photography,100044625390344
Amanda Rach Lee,374947979286379
Amanda Todd Legacy - Staying Strong,1384351311789583
Amanda Wilson,39009653110
Amanda-Jean McIntyre,100044355552789
AmandaMuse,429713933748674
Amandha Vollmer,101309878346146
Amantej Hundal,1858808581115972
Amants de la Scène,317483941651877
Amar Sandhu,1522984174638953
Amarjeet Sohi,700239930112024
Amarjot Sandhu MPP,2002150870039027
Amazing Discoveries,91779224794
Amazing Places on Our Planet,100044238438985
Amazing Vancouver & Beautiful British Columbia,277729482262064
Amba Digital - አምባ ዲጂታል,110484120536427
Ambasciata del Canada in Italia,233290656756686
"Ambassade de Belgique/Embassy of Belgium/Ambassade van België, Ottawa",284585751744737
Ambassade du Canada au Liban,482274865233124
Ambassade du Canada au Maroc et en Mauritanie,719825781367883
Ambassade du Canada en Algérie,846145502080670
Ambassade du Canada en Haïti,1384415948471217
Ambassade du Canada en Tunisie,552706181481063
Ambassador Hotel & Conference Centre,119769641373572
Amber Mac,252052971661542
Amber Mark,161808900863269
Amber Marshall,100044313495335
Ambre McLean,68640606736
Ambrose University,31326582748
Ambulance New Brunswick + Extra-Mural Program,167968156555764
Ambulance Paramedics Of BC,366380826707791
Ambulances Demers,279976502843963
Ambush,187423451307874
Amelia Warren,239613306804387
Amelie No,100047072889055
American Express,214208065504
American Harley-Davidson,87575226679
American Muslims,527806667278694
