page,fbid
580 CFRA,120812262830
5G Shield,884120998587363
5G Winnipeg Awareness,113235166803564
5MinuteLife,648206028677700
5e rang,350025215775095
5k Foam Fest Fun Run,552832248170327
5sang14,100050539026963
5th Canadian Division/ 5e Division du Canada,478573952173735
6 Inch Heels Forever Handmade Shoes (High Heels and Wedding Dresses),78408818895
6 MeMes 9,1675376765901269
6 Shit 9,2063226217276454
60's Scoop Awareness,680456438659094
604 Now,362949288232
604 Records,80511056767
620 CKRM,113255945407102
630 CHED,130968530253684
630 CHED Santas Anonymous,113906485336166
640 Toronto,160347210655494
650 CKOM,114264561925492
660 NEWS,341076152371
669-Heat,1412853202320765
66Samus,100044253018349
680 CJOB,130660530344466
680 NEWS,204410527704
6Foot4Honda Motovlogs,655318661164633
6LACK,86274211357
6ix Sigma Productions,382033598549421
6ixbuzz,852538264912703
7 Jours,113918058635710
7 jours sur Terre,1856281401056181
7-Eleven Canada,115568165165295
70000tons,107567389067
72hr Rally,581092632335742
730 CKDM,206511469364921
747,100044587121728
77 Montréal,1894521814111035
7ate9 Bakery,108873852493284
8 80 Cities,181713948536869
80 Empire,919790281385243
80's music lovers,172864282803468
80s Summer Camp,259740677701783
840 CFCW,37326956740
88.7 myFM,145065388860709
88.9 Shine FM,8949282497
88glam,256246808235722
88rising,1711974572421873
89.5 The Drive,169988889686993
8Comics,325081924358831
8Comics Home Of,1430918253844955
8Hay,699256586862475
8day,604549889644560
8th Street Books & Comics,139775739404796
90 Day Fiance Updates,707355129464145
90's Nostalgia,500947239983919
90.5 Shine FM,125210074158898
90.5 myFM,112992357917
900 CHML,104554073627
91.5 THE BEAT,19003505092
91.7 Giant FM,140092799358095
91.9 BOB FM,298855207450
91.9 Sports,880897441945418
91.9 The Bend,1536672966552869
92.1 CITI,111770622188081
92.1 ROCK,102812993091579
92.1 myFM,451878664879380
92.3 The Dock,136266479728351
92.7 ROCK Sudbury,106881490072
92.9 The Bull,359093871871
93.1 The Border,251036181630636
93.3 CFMU,175580194221
93.3 The PEAK,146625782056709
93.3 The ROCK,141554845865248
93.3 myFM,40218033049
93.7 JR Country,59387287797
931 Fresh Radio,182496758453639
"94,5 Unique FM",217585578399673
"94,9 Rouge",236257089748345
94-3 The Drive,211202318983998
94.1 myFM,164864070233626
94.3 CKSY,181817548531213
94.7 Rouge,240445512654530
94.9 The Rock,116961655005805
943 the GOAT,112843875393678
"95,7 KYK",117228977327
95.1 The Peak FM,103411603025398
95.5 Hits FM,10150154538290437
95.7 CRUZ FM,1435597666654794
95.9 CHFM,175729922438540
"96,9 CKOI",122334661136817
"96,9 Rouge",267133359969833
96.1 BOB FM,496496950437012
96.1 myFM,148263071863963
96.3 BIG FM,193313102322
96.3 Cruz FM,294602450660511
96.3 The Breeze,141299699264130
96.5 CKFM - All Hit Country,140322919378347
97.3 The Wave,291323799248
97.5 KROCK,253491807996607
97.7 HTZ-FM,100295090024444
97.7 Max FM,355725537410
97.7 ROCK Grande Prairie,135626609792269
97.7 Real Country,263038403758270
98 COOL,100044638740132
"98,5 FM",141792675836335
98.1 CHFI,174572581654
98.9 myFM,171942679620136
980 CFPL News,78585693009
980 CJME,110697868965218
99 Neighbors,2019176701675594
99 Whiskers,178189705911021
"99,9 Rouge",191347847594526
99.1 HITS FM,269138668812
99.3 The Drive - Prince George's Classic Hits,112101172142114
99.9 myFM,123212057763525
99.9FM The Fox - Sarnia,161402733888455
999 BOB FM,403003226378163
99media.org,296520683729165
A & C Games,11143371593
"A Bear, An Otter & A Queen",1559166767450371
A Better Us,599393427069619
A Better World - Canada,78575645584
A Blog Of Thrones,133829086988375
A Boogie Wit Da Hoodie,914081808700817
A Break From Reality,260160084660164
A Bucci • Wildlife Photography Tours and Printing,100045116378612
A CALL FOR SUBMISSION,144960288929730
A Capella Science,100044542294859
A Clothes Horse,254564953024
A Dash of Dee,276764435696647
A Day To Remember,19814903445
A Dollar A Day,476511116045730
A Dose Of Buckley,100044842688173
A Fan For Life,519011901569398
A Future Without Breast Cancer - Canadian Cancer Society,35601747632
A L Auto ئۆتۆمبيلی کلین تایتل کەنەدی,101771048283446
A Life In Progress,1439938736279507
A March to Unmask: Vancouver,100650505055255
A Matter of Light,105909037482954
A Pet's Delight,2092094244432703
A Pet's Life,154263807927982
A Pet's Pantry Society,762155360530388
A Place Called Home,439696019476607
A Poet's Blood Is Ink Continued,100050474769900
A Primitive Evolution,7938397534
A Simply Complicated Life,103406911214790
A Softer World,12022565177
"A Spiritual Journey with Jesus, The Divine Mercy",130799766943475
A Taste of Burlington,142441596069
A Thousand Horses,100044400010579
A Tickle Box,940013159400163
A Twist of Yarn,386650721414211
A Villains Neverland,308892059702504
A Virtual Vegan,943587332365868
A Voice for Men & Women who Support Feminism & Oppose the MRA,464753026905271
A Wedding Expo,138546402833222
A Whole Lotta Love,156301878075880
A Year Of Boxes,365582686864629
A bon entendeur,1411055932505957
A for Adventure,257107474459044
A new little ice age has started,835413083200696
A to Z Alpacas,134457113278082
A ton avis,698225730324024
A woman on the internet,998717626805944
"A""mot""reux - Open Mic",739878472882716
A&B Boutique,591766051235963
A&B Crystal Collection,342912872529441
A&M Glass and Door,2295704620682408
A&p-REACTS,393997354328046
A+ Action,235298823803286
A-1 Heating St. Albert Ltd,148793688581796
A-Z FILMS,345253399397
A. view 女裝秀評時尚部落格,320473654655875
A.C.E 에이스,100044297922927
A.CHAL,302019319838267
A.N.G,100047303823006
A.O.S Heirdrain,977606305639170
A.Vogel Canada,547812078564732
A/Maze: Montreal Escape Game,859100720780249
A7G - Assembly of Seven Generations,305298902951349
AB Doer 360,728565993980943
AB Radical Feminists,109176647113961
AB3 Comedy,100053982690644
AB6IX,100044498676942
ABA Canada,36938556474
ABB,525435737472472
ABC Bakers,130277917025085
ABC Bees: Apiaries & Bees for Communities,120963461297266
ABC Fire & Safety Equipment Limited,1572064009689489
ABC General Hospital Fans,2235025963404508
ABC Spark Canada,298097646901625
"ABC:  Antiques, Books & Collectibles",133402863425661
ABCcooking with Nataliya Mashika,344776949064173
ABES College,635267203182624
ABIR,260336474031252
ABK Restoration Services,254322431262900
AC Bonifacio,842535522491619
AC Entertainment,11961717299
AC/DC,6750402929
ACA CERTIFICATION,281110993348
ACAB Media,157261957801900
ACAP Saint John,289305633289
ACCES Employment,152816008100657
ACCROchet,108287709284890
ACD Systems,366653082708
ACE Services Mécaniques,936730326394098
ACEF Lanaudiere,314361095272708
ACEF Montérégie-Est,434769069934228
ACFA,197508575486
ACFA Régionale de St-Paul,283459778362938
ACM Warbirds of Canada,674066609399960
ACN - Aid to the Church in Need,251762220945
ACN - Aide à l'Église en Détresse,273259151290
ACRD. What's on your Fork?,731951266899053
ACSP - Association Canadienne des Sommeliers Professionnels,449847388439470
ACT,56472941934
ACT for Canada,756349217844437
ACT-Autism Community Training,146839398709900
ACTORS,100044598602105
ACTRA Toronto,59792622507
ADAMA Canada,1761351417431741
ADAMSON,47434680535
ADAV Society/STOP UBC Animal Research,105139849560624
ADDITION ELLE,80592962427
ADHD: A Family Matter,206367376502982
ADI - Advancement of People with Disabilities & Rehabilitation for All,56032272603
ADIM Collaborative- Autism Coaching and Consulting,379292989162564
ADISQ,115065718526278
ADM Sport,238247485579
ADRA Canada,178474577244
ADUQAC - Association des diplômés de l'UQAC,701375173214408
AECS HEC Montréal,320110934742650
AEHEC,211902955493907
AEW Fans 4 Life,597682460379260
AEW Games,246685843059371
AFAC - Aboriginal Firefighters Association of Canada,194193480626942
AFI Headquarters,156731079675
AFIWI Groove School,411158799012179
AFL Canada,231937700250782
AFN Yukon Region,1577212882362337
AFPC-Québec,238620454833
AG Club,106624420727856
AG Hair,58903674372
AGAC,109054835834443
AGF Investments,197276286967436
AGLC,270165989793659
AGNEZ MO,136166399746543
AGO - Art Gallery of Ontario,7834249143
AGP Assurance,749432021737114
AICP Canada - جمعية المشاريع الخيرية الإسلامية في كندا,279941218747271
AID 4 PAWS - Search and Recovery,1781493712077450
AIDS Committee of North Bay & Area,128216403874712
AIDS NB/SIDA N-B,109323496573
AIM Autosport,104653834250
AIM Electronic Music Festival,513459868790359
AIR MILES Canada,8669328226
AIX-EN-TRIC,111817185513276
AIZA,1270900136271671
AJ Mitchell,1681238465447660
AJDOR,100050371395064
AJStrategie,304603290043452
AJ’s and ME,2190390774547618
AKTV Inc,169005258261
ALARY SPORT,65863952419
ALBI Kia Saint-Eustache,112371230253528
ALBI le Géant,171581862856670
ALC21,130914513907051
ALDO Chaussures,83779711019
ALDO Shoes,70926594298
ALDO Shoes - Panama,111657787264496
ALDO Shoes - Taiwan,109376120711196
ALIYAH O'BRIEN,131941370171185
ALL CREATURES Animal Welfare Trust,1060507117333189
ALL MEMES,508381246298281
ALL Through the House in Okotoks,114697058569607
ALLAH Bize Yeter,112843947085542
ALLAH C.C AŞKI,356486178431733
ALLMAX Nutrition,15644988390
ALN,660964020622520
ALPHA RWIRANGIRA,183381141320
ALS Canada,135818996473199
ALS Society of Alberta,108461419173292
ALS Society of New Brunswick and Nova Scotia,877280062295729
ALTER EGO CLOTHING,146169998729718
AM 1150 Kelowna,147266938628366
AM1470 / FM96.1 - Official Page,132820956742945
AM730 Traffic,106225510039
AM800 CKLW,134091663273216
AMA - Alberta Motor Association,282097298551442
AMA LOU,1829473360666383
AMA Rewards,907918679233200
AMA Travel,97548970412
AMAZONE,1547441061976156
AMBER Alert Ontario,123358547708473
AMC Insurance,480403372169075
AMFAMFAMF,275871562924259
AMG Television,1133800613402112
AMI-Quebec,110620488997185
AMI-télé,1558218751066856
AMORE PIZZA Factory,135426956621168
AMP Diapers,52365427239
AMP Guardian Pharmacies,940385215995648
AMP Radio,91086701900
AMRE Supply,127435257328449
AMVQ en pratique des petits animaux,131730440285041
AMY HEF,100050351415793
ANCIIENTS,100050205891877
ANDRRE,39863284166
ANMOL VIRK,100044399530401
ANOKHI MEDIA,254079461311688
ANTY,593704290749544
APA Archery,326913727368498
APC United Late Model Series,728042023931159
APCHQ,1446831698950227
APCHQ - région de Québec,1528760987346035
APCM,147994790671
APEM - Association des professionnels de l'édition musicale,155386674600910
APMCert,121677815048814
APTN,88781789916
APTN Investigates,167476650880
APTN Lumi,2328138220796298
APTN National News,125809458771
AQTIS - Page officielle,319021241490484
AR12Gaming,373782215983
ARA - Féria Automnale,233911953989088
ARAMA JAPAN,620474298048383
ARBORcore Designs,1432203757044267
AREA 506,446457878884676
ARENA DARDANE,448623451845718
ARF Alberta - Animal Rescue Foundation,117838381589220
ARIM Madagascar,104250774281955
ARK Ceramics & Gifts,49874223829
ARPAC,106847846016208
ARPACanada,116175845083128
ARYA Canada Inc,741763115874370
AS-LIGHT SKOPJE MACEDONIA,234333537036
ASAP Mob,100044359692806
ASI,365400150221712
ASI - Association de la Sommellerie Internationale,1044728685540846
ASTROLab du parc national du Mont-Mégantic,137058673012042
ATB Financial,185517151483763
ATB Watersports,172051629517346
ATCO,159251388521
ATIS Portes et Fenêtres,554347271252269
ATMA Classique,167626383266735
ATMOSPHERE - Province de Québec,255658684486324
ATSA - Quand l'Art passe à l'Action,155544271351
ATTAC-Québec,116038985126028
ATTITUDE - français,159696534215774
ATTITUDEliving,38093531209
ATU Canada,585588625121972
ATU Local 113,477892855708074
ATV.com,134267149956440
AUF - Afrique de l'Ouest,169907409760797
AUJ,802664539831338
AUTO JOSA Inc.,491244244387812
AVA LIVE Radio,235444289905108
AVA White,209279216154976
AVSforum,543436999053107
AW Leil Cranes & Equipment,863230780423007
AWSM KIDS CO,121872855079763
AX Hôtel Mont-Tremblant,32741678098
AX: The Arts & Culture Centre of Sussex,107472759271536
AXFIT,78005051990
AXIAfilms,531675623524457
AXXION,228549737238021
Aaditi Agrawal,100044099093096
Aamir,165479426832195
Aamjiwnaang First Nation Administration and Council,602849469762416
Aamjiwnaang Heritage & Culture :E'Maawizidijig,628626040523778
Aap North America,211359699049406
Aaron Allen Music,11862033357
Aaron Cole,193496544000886
Aaron Dessner,1703362789946740
Aaron Goodvin,100044265887727
Aaron Gordon,866277600055462
Aaron Gunn,718750754978491
Aaron Paramedical Services,142538072452279
Aaron Peck and Elevation Sled Dog Adventures,1394885270579756
Aaron Pollock,192831010861550
Aaron Pritchett,100044470478033
Aaron Starr,157369414320934
"Aaron Thompson Concerts, Missions, Conversations and HOPE",121155345402
Aaron Winter,2006605439597216
Aarsen,54448690509
Aarti Pole,100044487157238
Aashmeen Munjaal's STAR SALON n' Academy,129276660479544
Aasiva,148951245687671
Aazar,726138340736927
Ab extensions - Spécialiste en extensions capillaires,366655443389798
Aba & Preach,445938198925817
Abajd Primary Schools Yemen-APS مدارس أنموذجية أبجد - اليمن,444647268903159
Abaka,152978984739035
Abandon All Ships,100044404540362
Abandoned Cat Rescue,1433858943498232
Abandoned Spaces,1631626090400340
Abbey's Kitchen,347884095242774
Abbotsford Centre,274161990696
Abbotsford Fish and Game Club,111698735550604
Abbotsford International Airshow,360068150851
Abbotsford Police Department,216416955042766
Abby Langer Nutrition,615968808433528
Abby Pollock,508786615948675
Abby Sage,1684359575156741
AbbyNews,131829896841647
AbbyShot,118400493057
Abc Pictures Limited,214745368650689
Abdel Kadiri,244362485694110
Abdilahi Ahmed mohamud Carafaad,100044296486398
AbduFood,151411341684647
Abdul Rashid Dostum,777350572289811
Abdullah Alghurabi,118788612075805
Abdullah Sameer,100046988176709
Abe Mawoyo,129929437137475
Abeego,320791263258
Abell Pest Control,613067592082514
Aberdeen Glen Golf Course,107748005940505
Aberdeen Mall,107843705918849
Aberdeen Neighbourhood Association - Kamloops,736434529761733
Aberfoyle Powersports,507899402735991
Abergel Goldstein & Partners,1143697145717834
Abigail Lapell,244809331139
Abigale,2045226622445323
Abilities Centre,191544447558507
Abilities Manitoba,1697608037165836
Abin Alex,101806203234291
Abir El Shaban,301563233995460
Aboriginal Journeys - Whale Watching & Grizzly Bear Tours,338524092913221
Aboriginal Sport Circle NWT,208591221778
Aboriginal Students' Centre,121245534572689
Abortion Rights Coalition of Canada,127514140600625
Abou Samra,196601290487535
About Islam,1516856835275038
Above & Beyond Home Decor,293983644027290
Above & Beyond Tree Service,1539051976342583
Abraham Vázquez prom,248163952426795
Absolute Comedy,132584303460463
Absolute Travel,403297919723274
Absolutely Positive,100044609011551
Abstrakt Sonance,143020379090211
Abundant Life Colors,412935188912432
Academos,160220461386
Academy Theatre,304558422927255
Academy of Ideas,457155184315132
Acadia Athletics,527707370609434
Acadia Divinity College,77453586393
Acadia S.M.I.L.E.,285448741507169
Acadia Students' Union,114538565251686
Acadia Today,322948194499560
Acadia University,54557874359
Acadia University Axewomen Basketball,1458588451121554
Acadia University Library,16513130396
Acadie Nouvelle,26891234963
Acadie-Bathurst Titan,142363582513003
Académie Gregory,670819993294232
Académie Scientifique de Beauté Canada,117241251699841
Académie canadienne du cinéma et de la télévision,412922212120161
Académie de l'Impact de Montréal,1385604255090970
Académie du Ballet Métropolitain,189114061129873
Académie du Keto,308451663398730
Accelerated Motion Physiotherapy,120410035030242
Accent,100044514726133
Accent Dental Centre,177905865580490
Accent Fireplace Gallery,216711805174470
Accent Inns,169407818154
Accented Cinema,273014823373616
Acceptance Technique,1671753246417681
Access Communications Water Park,101114173289134
Accessibility Standards Canada,101005954831869
Accessible Canada,247990812241506
Accompagnante à la naissance/Mère et Monde,38259047660
"Accor, Global Reservation Centre",149651468399873
According to Science,338901813535637
Accros de la chanson - FJFNB,1111447878886671
Accueil Bonneau,317447201636677
Accès Conseil,1769383216627565
Accès Croisières,753860624951071
Accès Croisières & Voyages,371772912869009
Accès Location +,366780893346633
Accès Physio,167957086624259
Accès Services Santé,1874661769217877
Accès transports viables,368356109922780
Accésss,150219778987988
Ace Cabs,1503980709929879
Ace Canada,186731061828228
Ace Hill,503656246483214
Acejax,511910708850631
Acfas,33532707807
Achieve Wellness Spa,170622129742951
Acidmath,571676489608425
Acorn Stairlifts Canada,820482821429875
Acroshka,796349850403189
Across The Board,215735768580845
Act Natural,107880010579514
Action & Reaction MMA,271486752878508
Action 500,227244394000230
Action Against Hunger / Action contre la Faim Canada,110272245706413
Action Autisme,111001832365740
Action Canada for Sexual Health and Rights,868589909847623
Action Free Hong Kong Montreal 滿地可撐香港行動頁 #Freehkmtl,1326598397503723
Action Jeunesse de l'Ouest-de-l'île(AJOI),404506246231348
Action Pack,1906540486058261
Action Sport Physio - Santé et mieux-être,339053429364
Action Sport Physio - St-Jérôme,459375874250781
Action Sport Physio Saint-Hyacinthe,2055868554683292
ActionDignity,119971081409297
Actions interculturelles,245341618962350
Activate,2112015969058734
Activate Our Island,108749184196367
Active Refresh,280475149151791
Active Riverview,129088795618
Active Therapy +,510905545699048
Active for Life,224643910895706
ActiveBeat,395116880560218
Activists Hub,753785871330910
Acton Fire Fighters Association,389553867893453
Actors Access,90493138938
Actualité Humour HR,295591647466030
Actualité LGBTQ francophone,112113183629684
Actualités - L'Étincelle du Val SF,1495260677415020
"Actualités, trucs et astuces",497410677108221
Actumus,848390085223309
Aculite,100044156692908
Acupressure Experts - Sambhav Nature Cure Hospital,422443897919129
Acura Canada,248426078570538
Acura Connected,217800518245295
Acura Trois-Rivières,120494024671679
Acura West,121312747907241
Ad Litteram,1640265516261128
Ad hoc penticton,486408341373976
AdVenture Capitalist Community,345324292309306
AdVenture Communist,100451933698060
Adaline,9636373617
Adam 963,1388595778103913
Adam Baldwin,87649677491
Adam Baxter,136441303091371
Adam Chan - adamchankungfu.com,104342650049086
"Adam Cicchillitti, Guitarist-Guitariste",1741549209397463
Adam Ellis,136450789739469
Adam Gregory,100046724421022
Adam Husa,319714168070383
Adam Shoalts,1606529472946013
Adam Vaughan,1438706603045134
Adam van Koeverden,337597002991333
Adam4Adam,139181536124240
Adamjee Lawn,1686821821558305
Adamski (official),351050281599535
Adamson Barbecue,1671911683062812
Adaptive Engineering Inc,207233052631620
Adbokasiyang Pinoy,100053597176438
Adbusters,131857616962
Addams Family Movie,848505495350358
Addiction Matters - Kamloops,1508903712747155
Addison Électronique,520612624672943
Addisu Kenea,100047127350479
Adecco Canada,20648570470
Adele's Over the Rainbow Baskets - Down syndrome LOVIN,1376613865936842
Adelyne's,965206000264261
Adept Handmade Decor,2016956581874997
Adept Tattoos,148323681851087
Adib Alkhalidey,100044250663025
Adil C,135424390342434
Adil Charkaoui - عادل الشرقاوي,746182248836477
Adithyha Jayakumar,102865574762384
Aditya Thackeray,94397687442
Adjrad djugurta - أجراد يوغرطة,100044268917775
Admiral Freebee,263359822099
Admiral Jobs - Halifax,159886130706372
Adnan Ul Haq,1262745770528464
"Adonis "" Superman "" Stevenson",108750312538125
Adonis Puentes,9951593831
Adopt A Mutt Dog Rescue: Thunder Bay,508117625975592
Adopt A Senior - Guelph,273871046596590
Adopte Inc.,984704771571022
Adoption Chats Sans Abri,229626471449
Adoption Options Alberta Ltd.,870082323008925
Adoptive Families Association of BC,115860195099124
Adoptmycanin,247750589182796
Adorable Chocolat,1425413377785370
Adornetto,114447922238262
Adrenalin Motors,119115208138684
Adrenalin Source for Sports,139329392758457
Adrenaline Montreal Tattoos & Body Piercing,113511442003682
Adrenaline Vancity Tattoos and Piercings,157448995168
Adrenalinejunkieprod,533331550080602
Adrian Chalifour,123291451131262
Adrian Crook,2031082717164302
Adrian Dix,126563930752856
Adrian Sutherland & Midnight Shine,521247211255429
AdrianMartinus Design,1064736873540802
Adriana LaGrange,1069877079831515
Adrianna Biedrzynska,199725706891746
Adriano Valentini Productions,1389345654661107
Adrien Gagnon,1133709409998959
Adrien Pouliot,405936282824547
Adult & Teen Challenge Society of BC,135006463183907
Adult Learning Centres: Bruce & Southern Grey,751337738570239
Adults Who Love Cartoons,104938804568158
Advanced Orthomolecular Research,162706124362294
Advanced Orthomolecular Research,142928152458547
Advantage Ford,102313689839298
Advantage Hope,350755608437739
Adventure Bay Family Water Park,270758443049514
Adventure Canada,77679467145
Adventure Destinations International,105179051210
Adventure365,104630459612889
Adventurer Campers,102045411208922
Adventures Through The Mind / James W. Jesso,100051499098994
Adventures of Tupper and Lego,1235753769775429
Adyn Townes,1664844980451084
Aermec,110247763192
Aero Career,944135045599017
Aero Emploi,733492893376450
Aeroplan,140803552604870
Aestas Book Blog,100044149883844
Aesthetic memes for tryhard teens,1759322440997165
Aeternam,100047055525220
Afelskie Shoes,404411333035512
Affaires de gars,128878600491458
Affinity CU,178350898946250
Affion Crockett,100044309640023
Affordable Staycation in Taguig,268519737202058
Afghan Canadian Islamic Community,116231028452839
Afghan Community Vancouver ACA,882709721874998
Afghan Memes,299072753493185
Afghanistan Party                 حزب افغانستان,859569560865376
Afif Kichli Est,1365628703492826
Afishionado Fishmongers,618237248271684
Afreen Afreen,100053049923422
AfriCanada Consulting Inc.,249611678919630
AfricaGag,620628631403074
African Arts & Cultural Society - Issamba Centre,357628717664355
African Athletics United,89162441451
African Brand Warrior,106198466378177
African Heroes,1056370214548428
African Impact,140942759303157
African Lion Safari,604903092937459
African Winners 1995,136824286354255
African Women Acting (AWA),255618694556278
Afrique Expansion Magazine,104398036266385
